"date","latitude","longitude"
"2021-12-23","1.2698357479","103.6154040472"
"2021-12-20","1.428732426","103.9344028883"
"2021-12-17","1.4415143914","103.9808816923"
"2021-12-12","1.2632827619","103.8767610063"
"2021-12-12","1.3044482589","103.7310686221"
"2021-12-11","1.3151934479","103.6043103654"
"2021-12-07","1.2721391331","103.6228679738"
"2021-12-06","1.3949534367","103.9033209043"
"2021-12-01","1.3496840062","103.9325104516"
"2021-11-28","1.5973339617","103.9399721654"
"2021-11-27","1.2166801445","103.8303348684"
"2021-11-27","1.2145082921","103.8002151501"
"2021-11-27","1.2055230716","103.8491483248"
"2021-11-26","1.3627279557","103.9562120731"
"2021-11-21","1.3780018846","103.8763537204"
"2021-11-13","1.2002858833","103.8552364229"
"2021-11-10","1.5174624199","103.8906790104"
"2021-11-08","1.3435239714","104.1493036398"
"2021-11-06","1.3088019466","103.6158327363"
"2021-10-31","1.3546055425","103.6826911694"
"2021-10-31","1.2684555155","103.6105311247"
"2021-10-31","1.5712428129","103.661819415"
"2021-10-31","1.3321669567","103.9079893666"
"2021-10-23","1.2972001585","103.6002914316"
"2021-10-22","1.2564034211","103.9911684049"
"2021-10-22","1.3521751562","103.9753080716"
"2021-10-22","1.263281301","103.9859173695"
"2021-10-20","1.3178222094","103.851210918"
"2021-10-17","1.2755140635","103.8003682914"
"2021-10-02","1.2120886059","103.9570614833"
"2021-10-02","1.2053999715","103.8429454213"
"2021-10-02","1.3176390242","103.912652918"
"2021-09-28","1.315451272","103.9226488642"
"2021-09-26","1.3731267668","103.8182673885"
"2021-09-26","1.2884403857","103.9822560742"
"2021-09-23","1.3490312516","103.6014845931"
"2021-09-18","1.3765508628","103.9384943892"
"2021-09-14","1.5339467756","103.912754016"
"2021-09-12","1.3087088205","103.8759799901"
"2021-09-10","1.4494101389","103.9888231266"
"2021-09-07","1.3709063862","103.8367357178"
"2021-09-07","1.3473548543","103.8258908972"
"2021-09-05","1.2986472063","103.8251428551"
"2021-09-05","1.2628791887","103.8913382205"
"2021-09-05","1.2018612311","103.9154300179"
"2021-09-05","1.5704047214","103.9112669988"
"2021-09-05","1.3989708576","103.9034348312"
"2021-09-04","1.3435135246","103.843780109"
"2021-09-04","1.3821560166","103.7031173278"
"2021-09-04","1.3683935392","103.9482154164"
"2021-09-04","1.235549175","103.8056005294"
"2021-09-03","1.2721251087","103.8225684306"
"2021-08-28","1.2782171895","103.9198271604"
"2021-08-28","1.3641940094","103.9284267468"
